wavelength,relative_value
339.06945430637745,0.3768729591258142
339.6050421009206,0.37762637328120346
340.14062989546375,0.3785404379176686
340.6762176900069,0.3796087217304089
341.2118054845501,0.38082490778104844
341.7473932790933,0.3821828020455673
342.2829810736364,0.3836763409428913
342.81856886817957,0.38529959790027846
343.35415666272274,0.38704678901258616
343.8897444572659,0.3889122778529427
344.42533225180904,0.390890579492294
344.9609200463522,0.3929762319774543
345.4965078408954,0.395160102729533
346.0320956354385,0.3974288078853178
346.5676834299817,0.3997687219155472
347.10327122452486,0.40216618618237737
347.63885901906804,0.4046074919777298
348.17444681361115,0.4070788673347016
348.71003460815433,0.409566467597123
349.2456224026975,0.4120563697453589
349.7812101972407,0.4145345704851055
350.3167979917838,0.4169869881102227
350.852385786327,0.4193994681506699
351.38797358087015,0.4217577928123319
351.9235613754133,0.4240488029999992
352.45914916995645,0.4262669280665929
352.9947369644996,0.4284188064617948
353.5303247590428,0.43051358638976006
354.0659125535859,0.4325604115714862
354.6015003481291,0.43456841466748386
355.13708814267227,0.43654671126049466
355.67267593721544,0.4385043943983246
356.20826373175856,0.4404505296951581
356.74385152630174,0.44239415098818247
357.2794393208449,0.4443442565449626
357.81502711538803,0.4463098058157731
358.3506149099312,0.4482986347780114
358.8862027044744,0.4503086119429194
359.42179049901756,0.4523322999508779
359.9573782935607,0.4543622811290216
360.49296608810386,0.45639121092540336
361.02855388264703,0.45841181904946326
361.5641416771902,0.4604169101859379
362.0997294717333,0.4623993642941806
362.6353172662765,0.46435213650499824
363.1709050608197,0.4662682566271309
363.70649285536285,0.468140858066794
364.242080649906,0.4699681403336475
364.77766844444915,0.47175887530075916
365.3132562389923,0.4735231265575224
365.84884403353544,0.47527090184250564
366.3844318280786,0.4770120699018214
366.9200196226218,0.47875589378589345
367.45560741716497,0.48051135535757383
367.9911952117081,0.4822873773836361
368.52678300625126,0.4840928256645286
369.06237080079444,0.48593651066232707
369.59795859533756,0.487826652082102
370.13354638988073,0.4897653273158572
370.6691341844239,0.49175074945538405
371.2047219789671,0.49378109282549976
371.74030977351026,0.4958545546910338
372.2758975680534,0.4979693551493244
372.81148536259656,0.5001237369999704
373.34707315713973,0.5023159655927071
373.88266095168285,0.5045443286542528
374.418248746226,0.5068071335059552
374.9538365407692,0.5091014528814349
375.4894243353124,0.5114211193568512
376.0250121298555,0.5137594889930303
376.5605999243987,0.5161099680290027
377.09618771894185,0.5184660111714472
377.63177551348497,0.520821119810386
378.16736330802814,0.5231688401623643
378.7029511025713,0.5255027613422096
379.2385388971145,0.5278167260144893
379.7741266916576,0.5301113994501824
380.3097144862008,0.5323954835330679
380.84530228074397,0.5346781061585232
381.3808900752871,0.5369683558308267
381.91647786983026,0.5392752845693389
382.45206566437344,0.5416079109208184
382.9876534589166,0.5439752230778765
383.5232412534598,0.5463861821037979
384.0588290480029,0.548849680155409
384.5944168425461,0.5513677629886243
385.13000463708926,0.5539284314141669
385.6655924316324,0.556518018996688
386.20118022617555,0.5591229266692166
386.7367680207187,0.5617296177179003
387.2723558152619,0.5643246126154806
387.807943609805,0.5668933426732716
388.3435314043482,0.5694166397825828
388.8791191988914,0.571874120638213
389.4147069934345,0.5742518834433887
389.95029478797767,0.5765734611491584
390.48588258252084,0.5788755579366731
391.021470377064,0.5811946773822937
391.55705817160714,0.5835670983115866
392.0926459661503,0.5860288588649999
392.6282337606935,0.5886157325955168
393.16382155523667,0.591363196770398
393.6994093497798,0.5943063930768959
394.23499714432296,0.5974735738350186
394.77058493886614,0.6008216417164602
395.3061727334093,0.6042645142228328
395.84176052795243,0.6077160692173572
396.3773483224956,0.6110907884151394
396.9129361170388,0.614303816030799
397.4485239115819,0.617271002196672
397.9841117061251,0.619908931448207
398.51969950066825,0.622148547270647
399.05528729521143,0.6240098639234122
399.59087508975455,0.6255482097183299
400.1264628842977,0.6268187126576528
400.6620506788409,0.6278761744753204
401.197638473384,0.6287750479825939
401.7332262679272,0.6295694235308344
402.26881406247037,0.6303130243775473
402.80440185701354,0.6310592107409934
403.3399896515567,0.6318609923337969
403.87557744609984,0.6327710491767073
404.411165240643,0.6338417605097296
404.94675303518613,0.6351252416389573
405.4823408297293,0.6366694909658881
406.0179286242725,0.6384752645831858
406.55351641881566,0.6405122349767866
407.08910421335884,0.6427498515919406
407.62469200790196,0.6451573466529494
408.16027980244513,0.6476961896403306
408.6958675969883,0.6503218849490384
409.2314553915314,0.6529898511439499
409.7670431860746,0.6556555332027938
410.3026309806178,0.658274376009756
410.83821877516095,0.6608022645101302
411.3738065697041,0.6632158407260822
411.90939436424725,0.6655206267116607
412.4449821587904,0.6677241415098456
412.98056995333354,0.6698337616424693
413.5161577478767,0.6718567335572697
414.0517455424199,0.6738001906869037
414.58733333696307,0.6756747193743952
415.12292113150625,0.6775002366426942
415.65850892604936,0.6792981582008829
416.19409672059254,0.6810894621021445
416.7296845151357,0.6828819720536847
417.26527230967883,0.6846676458418913
417.800860104222,0.6864375818019068
418.3364478987652,0.6881829811918914
418.87203569330836,0.6898951499404847
419.4076234878515,0.6915654991830614
419.94321128239466,0.6931855446229608
420.47879907693783,0.694746904754518
421.01438687148095,0.696241897766528
421.5499746660241,0.6976746527628375
422.0855624605673,0.6990599729921186
422.6211502551105,0.7004129900025182
423.15673804965365,0.7017487710956641
423.6923258441968,0.7030823204766706
424.22791363873995,0.7044285822953527
424.76350143328307,0.7058024455455651
425.29908922782624,0.7072187507926778
425.8346770223694,0.7086922987031783
426.3702648169126,0.7102366075051244
426.90585261145577,0.7118535384312977
